item_id,name,category,price,short_description,designer,depth,height,width
79253259,STUVA / FRITIDS,Beds,1990,Loft bed combo w 3 drawers/2 doors: 207x99x182 cm,Ebba Strandmark/IKEA of Sweden,No Record,182,No Record
19282962,SÖDERHAMN,Sofas & armchairs,1990,2-seat sofa,Ola Wihlborg,151,83,186
89303428,VIMLE,Sofas & armchairs,1990,Cover for corner sofa:  5-seat,Ehlén Johansson,No Record,No Record,No Record
9217849,BRÅTHULT,Beds,1991,Corner sofa-bed,Lisa Hilland/David Wahl/IKEA of Sweden,78,69,212
70340567,GRÄLVIKEN,Beds,1995,3-seat sofa-bed,IKEA of Sweden,86,74,225
49031774,LANDSKRONA,Chairs,1995,Armchair,Tord Björklund/IKEA of Sweden,89,78,89
89135944,SÖDERHAMN,Sofas & armchairs,1995,3-seat sofa,Ola Wihlborg,99,83,198
59270274,LANDSKRONA,Sofas & armchairs,1995,2-seat sofa,IKEA of Sweden/Tord Björklund,89,78,164
89284712,VIMLE,Sofas & armchairs,1995,2-seat sofa,Ehlén Johansson,98,83,171
9289884,LIDHULT,Sofas & armchairs,1995,2-seat section,Henrik Preutz,97,95,141
70419264,SKOGSTA,Tables & desks,1995,Dining table: 235x100 cm,Marcus Arvonen,No Record,73,100
40368713,NORDVIKEN,Tables & desks,1995,Extendable table: 210/289x105 cm,Francis Cayouette,No Record,75,105
90399284,RIMFORSA,Trolleys,1995,Work bench: 120x63.5x92 cm,Ehlén Johansson,No Record,92,63
69297471,FLOTTEBO,Beds,1996,Sofa-bed: 120 cm,C Halskov/H Dalsgaard,120,79,200
39156401,ÄPPLARÖ,Outdoor furniture,2000,Table+2 chrsw armr+ bench:  outdoor,K Hagberg/M Hagberg/IKEA of Sweden,No Record,No Record,No Record
19241491,SOLLERÖN,Outdoor furniture,2016,2-seat modular sofa:  outdoor: 161x82x87 cm,IKEA of Sweden/Jonas Hultqvist,82,87,161
79286636,EKET,Bookcases & shelving units,2020,Cabinet combination with legs: 210x35x210 cm,IKEA of Sweden/Jon Karlsson,35,210,210
49240193,NORSBORG,Sofas & armchairs,2020,3-seat sofa,Ehlén Johansson,88,85,213
49268653,STUVA / FRITIDS,Beds,2025,Loft bed combo w 4 drawers/2 doors: 207x99x182 cm,Ebba Strandmark/IKEA of Sweden,No Record,182,No Record
9251961,HAVSTEN,Outdoor furniture,2025,2-seat sofa:  in/outdoor: 164x94x90 cm,Andreas Fredriksson,94,90,164
59221373,PAX,Wardrobes,2025,Corner wardrobe: 160/88x236 cm,K Hagberg/M Hagberg/Ehlén Johansson/IKEA of Sweden,No Record,236,87
89260075,ÄPPLARÖ,Outdoor furniture,2034,3-seat modular sofa:  outdoor: 223x80x84 cm,IKEA of Sweden/Eva Lilja Löwenhielm/K Hagberg/M Hagberg,80,84,223
79247598,BJÖRKSNÄS,Beds,2040,Bed frame: 140x200 cm,K Hagberg/M Hagberg/IKEA of Sweden,No Record,42,160
69256220,GRÖNLID,Sofas & armchairs,2045,3-seat section,Ehlén Johansson/Francis Cayouette,98,104,211
89330653,PAX / MEHAMN/AULI,Wardrobes,2045,Wardrobe combination: 200x66x236 cm,IKEA of Sweden/Ehlén Johansson,66,236,200
9219457,VIMLE,Sofas & armchairs,2055,3-seat section,Ehlén Johansson,98,80,211
99184439,SVALNÄS,Bookcases & shelving units,2070,Wall-mounted storage combination: 193x35x176 cm,Jon Karlsson,35,176,193
99157577,ELVARLI,Wardrobes,2074,3 sections: 165x55x216 cm,IKEA of Sweden/Ehlén Johansson,55,216,165
39297118,LISABO / RÖNNINGE,Chairs,2075,Table and 4 chairs: 140x78 cm,Maja Ganszyniec/K Hagberg/M Hagberg,No Record,No Record,78
39297123,LISABO / RÖNNINGE,Chairs,2075,Table and 4 chairs: 140x78 cm,K Hagberg/M Hagberg/Maja Ganszyniec,No Record,No Record,78
99211621,HEMNES,Beds,2085,Day-bed w 3 drawers/2 mattresses: 80x200 cm,IKEA of Sweden/Carina Bengs,No Record,83,87
69130037,FLEKKE,Sofas & armchairs,2085,Day-bed w 2 drawers/2 mattresses: 80x200 cm,IKEA of Sweden/K Hagberg/M Hagberg,No Record,86,88
9333523,NORDVIKEN / NORDVIKEN,Bar furniture,2095,Bar table and 4 bar stools,Francis Cayouette,No Record,No Record,No Record
69287537,DELAKTIG,Beds,2095,Bed frame with headboard: 160x200 cm,IKEA of Sweden/Tom Dixon,No Record,99,164
69130612,VÄSTANBY/VÄSTANÅ / LEIFARNE,Chairs,2095,Table and 4 chairs: 170 cm,Mia Lagerman/IKEA of Sweden/Chris Martin,No Record,75,78
327772,MALSJÖ,Cabinets & cupboards,2100,Sideboard basic unit: 145x92 cm,Carina Bengs,48,92,145
30397669,GRÖNLID,Sofas & armchairs,2100,3-seat section,Francis Cayouette,94,104,211
30255250,BEKANT,Tables & desks,2100,Underframe sit/stand f table tp:  el: 120x80 cm,K Malmvall/E Lilja Löwenhielm,No Record,No Record,80
59324936,PAX / FORSAND,Wardrobes,2100,Wardrobe combination: 100x60x236 cm,IKEA of Sweden/Ehlén Johansson,60,236,100
89326463,PLATSA,Beds,2111,Bed frame with 4 drawers: 140x244x163 cm,Ola Wihlborg/IKEA of Sweden,40,43,140
19216689,MASTHOLMEN,Outdoor furniture,2115,4-seat conversation set:  outdoor,Nike Karlsson,No Record,No Record,No Record
9289370,DELAKTIG,Sofas & armchairs,2125,2-seat platform,Tom Dixon,84,No Record,149
9025765,PAX,Wardrobes,2125,Wardrobe: 150x44x236 cm,Ehlén Johansson/IKEA of Sweden,44,236,150
79306333,PAX,Wardrobes,2125,Wardrobe: 150x44x236 cm,IKEA of Sweden/Ehlén Johansson,44,236,150
9305761,PAX,Wardrobes,2140,Wardrobe: 200x66x236 cm,Ehlén Johansson/IKEA of Sweden,66,236,200
59167074,LAUVIK,Beds,2146,Divan bed: 140x200 cm,Synnöve Mork/Ola Wihlborg/IKEA of Sweden,No Record,120,140
29275715,BROR,Bookcases & shelving units,2150,Storage w shelves/cabinet/trolley,IKEA of Sweden,No Record,No Record,No Record
39297458,FLOTTEBO,Sofas & armchairs,2156,Sofa-bed: 120 cm,C Halskov/H Dalsgaard,120,79,200
99258005,KUNGSHOLMEN,Outdoor furniture,2160.4,3-seat modular sofa:  outdoor: 222x80x90 cm,IKEA of Sweden/Nike Karlsson/Eva Lilja Löwenhielm,80,90,222
99302975,PLATSA,Beds,2163.5,Bed frame with 2 door+3 drawers: 142x244x163 cm,IKEA of Sweden,40,43,141
39221190,TINGBY / LEIFARNE,Chairs,2165,Table and 6 chairs: 180 cm,Mia Lagerman/Mikael Warnhammar,No Record,No Record,No Record
59252190,TINGBY / LEIFARNE,Chairs,2165,Table and 6 chairs: 180x90 cm,Mikael Warnhammar/Mia Lagerman,No Record,No Record,No Record
9251956,HAVSTEN,Outdoor furniture,2170,2-seat sofa:  in/outdoor: 179x94x90 cm,Andreas Fredriksson,94,90,179
99180573,PAX,Wardrobes,2170,Wardrobe: 150x66x236 cm,Ehlén Johansson/IKEA of Sweden,66,236,150
69304221,EKEDALEN / EKEDALEN,Bar furniture,2176,Bar table and 4 bar stools,Ehlén Johansson,No Record,No Record,No Record
49304217,EKEDALEN / EKEDALEN,Bar furniture,2176,Bar table and 4 bar stools: 120 cm,Ehlén Johansson,No Record,No Record,No Record
79161617,ELVARLI,Wardrobes,2176,3 sections: 218x51x222-350 cm,Ehlén Johansson,50,No Record,218
9186126,HEMNES,Beds,2185,Day-bed w 3 drawers/2 mattresses: 80x200 cm,Carina Bengs/IKEA of Sweden,70,18,89
99183864,FLEKKE,Beds,2185,Day-bed w 2 drawers/2 mattresses: 80x200 cm,K Hagberg/M Hagberg/IKEA of Sweden,No Record,86,88
69291407,PLATSA,TV & media furniture,2187,Media storage combination: 320x42x241 cm,IKEA of Sweden,42,241,320
79306328,PAX,Wardrobes,2190,Wardrobe: 150x66x201 cm,IKEA of Sweden/Ehlén Johansson,66,201,150
99287550,DELAKTIG,Beds,2195,Bed frame with headboard: 160x200 cm,Tom Dixon/IKEA of Sweden,No Record,99,164
89254786,GRÖNLID,Sofas & armchairs,2195,3-seat sofa,Ehlén Johansson/Francis Cayouette,98,104,247
9193754,KIVIK,Sofas & armchairs,2195,Three-seat sofa,Ola Wihlborg,95,83,228
19289911,LIDHULT,Sofas & armchairs,2195,3-seat section,Henrik Preutz,98,95,211
9186112,HEMNES,Sofas & armchairs,2195,Day-bed w 3 drawers/2 mattresses: 80x200 cm,IKEA of Sweden/Carina Bengs,70,18,89
19265203,SJÄLLAND,Outdoor furniture,2196,Table+6 chairs w armrests:  outdoor: 156x90 cm,David Wahl,No Record,73,90
39256599,GRÖNLID,Chairs,2200,Chaise longue,Francis Cayouette,164,104,117
29248369,PLATSA,Wardrobes,2205.5,Wardrobe: 340x42x241 cm,IKEA of Sweden,42,241,340
19302917,PLATSA,Beds,2210,Bed frame with storage: 140x244x223 cm,IKEA of Sweden,40,43,140
19275136,HAVSTA,Bookcases & shelving units,2235,Storage combination: 142x47x212 cm,IKEA of Sweden,47,212,142
79275138,HAVSTA,Cabinets & cupboards,2235,Storage combination: 142x47x212 cm,IKEA of Sweden,47,212,142
89300750,FLOTTEBO,Beds,2236,Sofa-bed with side table: 120 cm,C Halskov/H Dalsgaard,120,79,200
69325214,PLATSA,Wardrobes,2246,Wardrobe with 7 doors+6 drawers: 300x42x201 cm,Ola Wihlborg/IKEA of Sweden,42,201,300
99329140,PAX / BERGSBO,Wardrobes,2250,Wardrobe combination: 100x60x236 cm,Ehlén Johansson/IKEA of Sweden/K Hagberg/M Hagberg,60,236,100
69330159,PAX / AULI,Wardrobes,2255,Wardrobe combination: 150x66x236 cm,Ehlén Johansson/IKEA of Sweden,66,236,150
79330192,PAX / SEKKEN,Wardrobes,2255,Wardrobe combination: 150x66x236 cm,IKEA of Sweden/Ehlén Johansson,66,236,150
39305745,PAX,Wardrobes,2265,Wardrobe: 200x44x236 cm,Ehlén Johansson/IKEA of Sweden,44,236,200
99285117,GALANT,Cabinets & cupboards,2270,Storage combination with drawers: 80x160 cm,K Malmvall/E Lilja Löwenhielm,45,160,80
29248208,IVAR,Bookcases & shelving units,2275,4 sections/shelves/cabinet: 344x30x226 cm,Sarah Fager/IKEA of Sweden,30,226,344
59303477,IVAR,Bookcases & shelving units,2275,Shelving unit w cabinets/drawers: 344x30x226 cm,IKEA of Sweden,30,226,344
39305180,NORDVIKEN / LEIFARNE,Chairs,2275,Table and 4 chairs: 152/223x95 cm,Francis Cayouette/Mia Lagerman,No Record,No Record,95
99305177,NORDVIKEN / LEIFARNE,Chairs,2275,Table and 4 chairs: 152/223x95 cm,Mia Lagerman/Francis Cayouette,No Record,No Record,95
39898474,ÄPPLARÖ,Outdoor furniture,2275,Table+6 chairs w armrests:  outdoor,K Hagberg/M Hagberg,No Record,No Record,No Record
60278306,BEKANT,Tables & desks,2275,Underframe sit/stand f table tp:  el: 160x80 cm,K Malmvall/E Lilja Löwenhielm,No Record,No Record,80
69214145,KLIMPEN,Tables & desks,2285,Table: 240x60 cm,Tina Christensen,No Record,73,60
9241420,NORDLI,Beds,2290,Bed frame w storage and headboard: 140x200 cm,Ola Wihlborg,51,16,240
99265911,HAVSTA,Cabinets & cupboards,2290,Storage comb w sliding glass doors: 121x47x212 cm,IKEA of Sweden,47,212,121
89240761,HOLMSUND,Beds,2295,Three-seat sofa-bed,K Hagberg/M Hagberg,99,96,230
69020473,BILLY / OXBERG,Bookcases & shelving units,2295,Bookcase: 200x30x237 cm,IKEA of Sweden/Gillis Lundgren,30,237,200
50386245,MÖRBYLÅNGA,Tables & desks,2295,Table: 140x85 cm,S Lanneskog/J Marnell,No Record,75,85
50420386,VEDBO,Tables & desks,2295,Dining table: 240x105 cm,Francis Cayouette,No Record,75,105
59276228,VADHOLMA,Trolleys,2295,Kitchen island with rack: 126x79x193 cm,Ebba Strandmark,79,90,126
79248588,PLATSA,Wardrobes,2296,Wardrobe: 240x57x251 cm,Ola Wihlborg/IKEA of Sweden,57,251,240
29277026,VALLENTUNA,Sofas & armchairs,2300,2-seat modular sofa,Fredriksson/L Löwenhielm/Hilland,113,84,186
89302914,PLATSA,Beds,2307,Bed frame with 10 drawers: 140x244x103 cm,IKEA of Sweden,40,43,140
19294347,VIMLE,Sofas & armchairs,2310,Cover for corner sofa-bed:  5-seat,Ehlén Johansson,No Record,No Record,No Record
40405876,LIDHULT,Sofas & armchairs,2320,Chaise longue section,Henrik Preutz,164,95,90
19305812,PAX,Wardrobes,2320,Wardrobe: 150x66x236 cm,Ehlén Johansson/IKEA of Sweden,66,236,150
19194456,BESTÅ,Cabinets & cupboards,2330,TV storage combination/glass doors: 180x40x192 cm,IKEA of Sweden,40,192,180
39279567,EKEDALEN / EKEDALEN,Chairs,2345,Table and 6 chairs: 180/240 cm,Ehlén Johansson,No Record,No Record,No Record
19221450,EKEDALEN / EKEDALEN,Chairs,2345,Table and 6 chairs: 180/240 cm,Ehlén Johansson,No Record,No Record,No Record
19221351,EKEDALEN / EKEDALEN,Chairs,2345,Table and 6 chairs: 180/240 cm,Ehlén Johansson,No Record,No Record,No Record
19257509,EKTORP,Sofas & armchairs,2345,3-seat sofa,IKEA of Sweden,No Record,88,252
19231152,HEMNES,Bookcases & shelving units,2346,Bookcase: 229x197 cm,Carina Bengs,37,197,229
69289008,DELAKTIG,Chairs,2350,Armchair,Tom Dixon,84,79,94
19289303,DELAKTIG,Sofas & armchairs,2350,Armchair,Tom Dixon,84,79,94
59291403,PLATSA,TV & media furniture,2358,Media storage combination: 220x42x251 cm,IKEA of Sweden/Ola Wihlborg,42,251,220
29282853,SÖDERHAMN,Sofas & armchairs,2370,3-seat sofa,Ola Wihlborg,99,83,192
59299381,BESTÅ,TV & media furniture,2370,TV storage combination/glass doors: 300x42x193 cm,Marcus Arvonen/IKEA of Sweden,42,193,300
29304223,EKEDALEN / EKEDALEN,Bar furniture,2375,Bar table and 4 bar stools: 120 cm,Ehlén Johansson,No Record,No Record,No Record
80278305,BEKANT,Tables & desks,2375,Underframe sit/stand crnr table:  el: 160x110 cm,K Malmvall/E Lilja Löwenhielm,No Record,No Record,110
99188003,ELVARLI,Room dividers,2377,4 sections: 262x36x222-350 cm,Ehlén Johansson,35,No Record,261
69286910,PAX,Wardrobes,2380,Wardrobe: 150x60x201 cm,IKEA of Sweden/Ehlén Johansson,60,201,150
29267334,ÄPPLARÖ,Outdoor furniture,2384,3-seat modular sofa:  outdoor: 143/223x80x84 cm,IKEA of Sweden/Eva Lilja Löwenhielm/K Hagberg/M Hagberg,80,84,223
89299539,HEMNES,TV & media furniture,2385,TV storage combination: 245x197 cm,Carina Bengs,No Record,197,245
69265842,HAVSTA,TV & media furniture,2385,TV storage combination: 282x47x212 cm,IKEA of Sweden,47,212,282
99251853,TORSBY / VOLFGANG,Chairs,2395,Table and 4 chairs,IKEA of Sweden/Carl Öjerstam,No Record,73,85
49305165,NORDVIKEN / NORDVIKEN,Chairs,2395,Table and 4 chairs: 152/223x95 cm,Francis Cayouette,No Record,No Record,95
59305155,NORDVIKEN / NORDVIKEN,Chairs,2395,Table and 4 chairs: 152/223x95 cm,Francis Cayouette,No Record,No Record,95
70451065,GAMLARP,Sofas & armchairs,2395,2-seat sofa,704.510.65,90,86,171
10412171,IDÅSEN,Tables & desks,2395,Underframe sit/stand f table tp:  el: 146x70 cm,Jon Karlsson,No Record,124,70
70404366,LIDHULT,Sofas & armchairs,2396,2-seat section,Henrik Preutz,98,95,141
59315159,ELVARLI,Room dividers,2397,3 sections: 258x51x222-350 cm,Ehlén Johansson,51,No Record,258
69219044,PAX,Wardrobes,2410,Wardrobe: 150x66x236 cm,Ehlén Johansson/IKEA of Sweden,66,236,150
79303645,SOLLERÖN,Outdoor furniture,2412,3-seat modular sofa:  outdoor: 223x82x84 cm,Jonas Hultqvist/IKEA of Sweden,82,84,223
99096013,PAX,Wardrobes,2415,Wardrobe: 200x60x236 cm,IKEA of Sweden/Ebba Strandmark/Ehlén Johansson,60,236,200
29250753,LAUVIK,Beds,2425,Divan bed: 160x200 cm,Synnöve Mork/Ola Wihlborg/IKEA of Sweden,No Record,120,160
29167037,PAX,Wardrobes,2450,Wardrobe: 200x44x236 cm,Ehlén Johansson/IKEA of Sweden,44,236,200
